"id","country_id","name","created_by","updated_by","created_at","updated_at"
1,1,"Selangor","System","manju","2014-04-02 06:51:38","2014-06-03 13:57:25"
2,1,"Negeri Sembilan","System","manju","2014-04-02 06:51:38","2014-06-03 13:57:25"
3,1,"W.P. Kuala Lumpur","System","manju","2014-04-02 06:51:38","2014-06-03 13:57:25"
4,1,"Johor","System","manju","2014-04-02 06:51:38","2014-06-03 13:57:25"
5,1,"Kedah","System","manju","2014-04-02 06:51:38","2014-06-03 13:57:25"
6,1,"Kelantan","System","manju","2014-04-02 06:51:38","2014-06-03 13:57:25"
7,1,"Melaka","System","manju","2014-04-02 06:51:38","2014-06-03 13:57:25"
8,1,"Pahang","System","manju","2014-04-02 06:51:38","2014-06-03 13:57:25"
9,1,"Pulau Pinang","System","manju","2014-04-02 06:51:38","2014-06-03 13:57:25"
10,1,"Perak","System","manju","2014-04-02 06:51:38","2014-06-03 13:57:25"
11,1,"Perlis","System","manju","2014-04-02 06:51:38","2014-06-03 13:57:25"
12,1,"Terengganu","System","manju","2014-04-02 06:51:38","2014-06-03 13:57:25"
13,1,"Sabah","System","manju","2014-04-02 06:51:38","2014-06-03 13:57:25"
14,1,"Sarawak","System","manju","2014-04-02 06:51:38","2014-06-03 13:57:25"
15,1,"W.P. Labuan","System","manju","2014-04-02 06:51:38","2014-06-03 13:57:25"
16,1,"W.P. Putrajaya","System","manju","2014-04-02 06:51:38","2014-06-03 13:57:25"
